,company_id,avg_time_dif_95,avg_time_dif_90,avg_time_dif_75,names
26,174,0 days 21:23:32.045188,0 days 21:23:32.045188,1 days 00:34:09.655354,VICE
27,194,0 days 11:26:26.468758,0 days 20:49:46.840312,1 days 06:58:31.061270,Lofelt GmbH
28,206,1 days 12:45:31.812600,1 days 12:45:31.812600,1 days 13:25:25.505210,Financefox Services GmbH
29,221,1 days 00:08:14.187966,1 days 01:28:12.098960,1 days 08:48:21.857510,Lofelt GmbH (Selbstzahler)
30,230,0 days 00:34:46.198533,0 days 00:34:46.198533,0 days 01:12:06.271906,Flaconi
31,231,0 days 15:19:07.024368,0 days 19:46:50.668220,1 days 08:51:05.669778,momox GmbH
32,239,3 days 23:50:54.255252,3 days 23:50:54.255252,3 days 23:50:54.255252,Fuyomo GmbH
33,241,0 days 18:10:24.342273,0 days 20:31:50.190853,1 days 10:55:42.254079,Care.com Europe GmbH
34,242,1 days 08:15:32.864109,1 days 08:15:32.864109,1 days 16:46:51.673604,eHealth MediDate GmbH
35,244,0 days 02:05:28.735737,0 days 02:11:12.260324,0 days 04:36:56.951068,Wayfair GmbH  (Köpenickerstr)
36,245,2 days 13:24:06.244668,2 days 13:24:06.244668,2 days 13:24:06.244668,Wayfair GmbH (Alboinstr.)
37,248,0 days 14:06:35.275792,0 days 14:19:28.861120,0 days 16:02:06.994739,BAS Kundenservice GmbH & Co. KG
38,252,0 days 04:36:37.186833,0 days 04:36:37.186833,0 days 04:36:37.186833,Springest Germany GmbH
39,258,2 days 01:57:28.992713,2 days 01:57:28.992713,2 days 01:57:28.992713,Financefox Germany GmbH (Payroll)
40,259,2 days 12:24:44.803606,2 days 12:24:44.803606,2 days 12:24:44.803606,OrgOS
41,260,0 days 13:30:46.908397,0 days 16:04:50.644911,1 days 03:35:57.116530,Sauce Labs
42,263,0 days 07:21:32.283030,0 days 09:26:48.353441,0 days 17:30:35.883266,EY Friedrichstrasse
43,264,4 days 14:18:55.797523,4 days 14:18:55.797523,4 days 14:18:55.797523,PAUAHouse
44,266,0 days 06:04:46.312819,0 days 06:04:46.312819,0 days 06:04:46.312819,Diraluro
45,267,0 days 09:09:00.821309,0 days 11:16:19.526137,0 days 21:38:11.009561,glispa
46,268,0 days 04:10:32.187511,0 days 05:51:36.148848,0 days 17:35:01.546116,Book A Tiger (Household)
47,269,1 days 14:52:30.000364,1 days 14:52:30.000364,1 days 14:52:30.000364,Trinavis GmbH & Co. KG (Cicerostr.)
48,273,0 days 06:13:37.961158,0 days 07:39:30.355866,0 days 11:32:11.996882,Exozet Berlin GmbH
49,275,3 days 03:03:09.029480,3 days 03:03:09.029480,3 days 03:03:09.029480,Dojo Freelancers
50,279,2 days 08:31:40.473338,2 days 08:31:40.473338,2 days 08:31:40.473338,Momox (Sodexo/Edenred)
51,281,0 days 22:23:56.099316,1 days 06:40:08.587323,1 days 19:37:46.794917,Techstars METRO - Retail (Jun-Sep 2017)
52,283,0 days 02:10:10.595051,0 days 02:10:10.595051,0 days 19:26:20.786315,Care.com (team lunch)
53,284,4 days 22:12:01.400943,4 days 22:12:01.400943,4 days 22:12:01.400943,Zavoloks Consulting UG
54,286,1 days 06:42:52.364547,1 days 06:42:52.364547,2 days 15:22:00.978664,Wikimedia Deutschland e. V.
55,287,1 days 20:35:59.249826,1 days 20:35:59.249826,1 days 20:35:59.249826,Exozet Freelancers
56,288,0 days 19:43:57.158709,0 days 19:43:57.158709,0 days 21:07:55.393502,Book A Tiger (Business)
57,291,1 days 19:51:01.788254,1 days 19:51:01.788254,1 days 19:51:01.788254,no name?
